source_folder,is_bird_folder,n,mean_p_bird,min_p_bird,max_p_bird,positive_predictions,correct,accuracy,recall_if_bird,fp_rate_if_nonbird
01fire,False,75,0.06750214844942093,5.882040080701367e-12,0.7856169939041138,3,72,0.96,,0.04
02rain,False,75,0.1084425076842308,3.6328210626379587e-06,0.7966477870941162,7,68,0.9066666666666666,,0.09333333333333334
03thunderstorm,False,75,0.003392946207895875,1.2978518260098326e-10,0.08590289205312729,0,75,1.0,,0.0
04waterdrops,False,75,0.05827448517084122,3.4651755242975923e-08,0.7874444127082825,3,72,0.96,,0.04
05wind,False,75,0.07374773919582367,1.2148675523349084e-05,0.8655790090560913,4,71,0.9466666666666667,,0.05333333333333334
06silence,False,75,0.08785116672515869,1.1698998605425004e-06,0.8525519371032715,4,71,0.9466666666666667,,0.05333333333333334
07treefalling,False,75,0.06683629006147385,1.2570010312629165e-06,0.6624066829681396,2,73,0.9733333333333334,,0.02666666666666667
08helicopter,False,75,0.05613461136817932,2.4651411467679907e-10,0.8403035402297974,5,70,0.9333333333333333,,0.06666666666666667
09vehicleengine,False,75,0.05069096386432648,1.4063301634337222e-09,0.8297909498214722,3,72,0.96,,0.04
10axe,False,75,0.010114804841578007,3.280082572199548e-14,0.48726001381874084,0,75,1.0,,0.0
11chainsaw,False,75,0.051035333424806595,6.528072304945454e-08,0.7481651902198792,3,72,0.96,,0.04
12generator,False,75,0.042661383748054504,4.488709404171232e-09,0.7858433723449707,3,72,0.96,,0.04
13handsaw,False,75,0.033309455960989,3.077124388628505e-10,0.45210909843444824,0,75,1.0,,0.0
14firework,False,75,0.022039933130145073,3.895282360555363e-11,0.6826760768890381,1,74,0.9866666666666667,,0.013333333333333334
15gunshot,False,75,0.009731490164995193,6.404096274548882e-14,0.16152307391166687,0,75,1.0,,0.0
16woodchop,False,75,0.019543031230568886,2.786065920069164e-13,0.8263234496116638,1,74,0.9866666666666667,,0.013333333333333334
17whistling,False,75,0.03416261076927185,4.025546840313865e-10,0.9098613262176514,1,74,0.9866666666666667,,0.013333333333333334
18speaking,False,75,0.06649372726678848,1.630476553771132e-08,0.81633061170578,2,73,0.9733333333333334,,0.02666666666666667
19footsteps,False,75,0.13728678226470947,8.90540505921189e-12,0.8297798037528992,9,66,0.88,,0.12
20clapping,False,75,0.030188268050551414,1.9252291479240034e-14,0.679766058921814,1,74,0.9866666666666667,,0.013333333333333334
21insect,False,75,0.13628166913986206,3.511052337756837e-09,0.8681830167770386,5,70,0.9333333333333333,,0.06666666666666667
22frog,False,75,0.059152793139219284,4.151070112645705e-12,0.8866149187088013,3,72,0.96,,0.04
23birdchirping,True,75,0.878333330154419,0.1118023470044136,0.9948058724403381,71,71,0.9466666666666667,0.9466666666666667,
24wingflapping,True,75,0.6897124648094177,0.014349677599966526,0.9647983908653259,60,60,0.8,0.8,
25lion,False,75,0.0357787050306797,1.3320410552353223e-08,0.6960252523422241,1,74,0.9866666666666667,,0.013333333333333334
26wolfhowl,False,75,0.015507549978792667,3.38805823674182e-11,0.6264091730117798,1,74,0.9866666666666667,,0.013333333333333334
27squirrel,False,75,0.07034407556056976,2.2311442080535926e-06,0.7740628123283386,2,73,0.9733333333333334,,0.02666666666666667
