fold,n_train,n_val,train_pos,train_neg,val_pos,val_neg,steps_per_epoch,epochs_ran,best_val_hard_pr_auc,accuracy_0p5,precision_0p5,recall_0p5,f1_0p5,tp_0p5,fn_0p5,fp_0p5,tn_0p5,roc_auc,pr_auc,target_fpr,threshold_at_fpr_target,recall_at_fpr_target,precision_at_fpr_target,fpr_at_target,normalizer_mean,normalizer_std,weights_path,loss
0,1620,405,120,1500,30,375,94,41,0.8654941417275192,0.9654320987654321,0.75,0.8,0.7741935483870968,24,6,8,367,0.9801777777777778,0.8654941417275192,0.02,0.5465406179428101,0.8,0.7741935483870968,0.018666666666666668,-9.192533493041992,3.802612827850342,student/results/5s_kd_binary_hw08_kw02/models/student_5s_kd_binary_v1_fold0.weights.h5,hard_focal*0.8+soft_bce*0.2
1,1620,405,120,1500,30,375,94,46,0.9069039497049177,0.9728395061728395,0.7878787878787878,0.8666666666666667,0.8253968253968254,26,4,7,368,0.9876444444444444,0.9069039497049177,0.02,0.5669557452201843,0.8666666666666667,0.8387096774193549,0.013333333333333334,-9.182743072509766,3.7983751760253908,student/results/5s_kd_binary_hw08_kw02/models/student_5s_kd_binary_v1_fold1.weights.h5,hard_focal*0.8+soft_bce*0.2
2,1620,405,120,1500,30,375,94,60,0.9481010794739172,0.9827160493827161,0.8484848484848485,0.9333333333333333,0.8888888888888888,28,2,5,370,0.9947555555555555,0.9481010794739172,0.02,0.5499266982078552,0.9333333333333333,0.875,0.010666666666666666,-9.178801536560059,3.7861319051513673,student/results/5s_kd_binary_hw08_kw02/models/student_5s_kd_binary_v1_fold2.weights.h5,hard_focal*0.8+soft_bce*0.2
3,1620,405,120,1500,30,375,94,26,0.8742293626135422,0.8987654320987655,0.417910447761194,0.9333333333333333,0.5773195876288659,28,2,39,336,0.9781333333333333,0.8742293626135422,0.02,0.8347954154014587,0.8,0.8,0.016,-9.165760040283203,3.7899218068847658,student/results/5s_kd_binary_hw08_kw02/models/student_5s_kd_binary_v1_fold3.weights.h5,hard_focal*0.8+soft_bce*0.2
4,1620,405,120,1500,30,375,94,52,0.9309260301265322,0.9753086419753086,0.8333333333333334,0.8333333333333334,0.8333333333333334,25,5,5,370,0.9888000000000001,0.9309260301265322,0.02,0.4016520082950592,0.9,0.7941176470588235,0.018666666666666668,-9.247623443603516,3.7683408723602296,student/results/5s_kd_binary_hw08_kw02/models/student_5s_kd_binary_v1_fold4.weights.h5,hard_focal*0.8+soft_bce*0.2
