source_folder,is_bird_folder,n,mean_p_bird,min_p_bird,max_p_bird,positive_predictions,correct,accuracy,recall_if_bird,fp_rate_if_nonbird
01fire,False,75,0.021741537377238274,5.9620555020734045e-12,0.6438341736793518,1,74,0.9866666666666667,,0.013333333333333334
02rain,False,75,0.12484012544155121,9.748008267251862e-08,0.955458402633667,9,66,0.88,,0.12
03thunderstorm,False,75,0.0006705900304950774,2.1736303349676606e-13,0.014204139821231365,0,75,1.0,,0.0
04waterdrops,False,75,0.030434465035796165,1.4165635775498231e-08,0.7176569104194641,1,74,0.9866666666666667,,0.013333333333333334
05wind,False,75,0.02135123685002327,1.1817490985777113e-06,0.4825293719768524,0,75,1.0,,0.0
06silence,False,75,0.032591089606285095,2.293908529793498e-08,0.3787127137184143,0,75,1.0,,0.0
07treefalling,False,75,0.05960899963974953,5.144888071129117e-09,0.7965734004974365,3,72,0.96,,0.04
08helicopter,False,75,0.03257899731397629,7.566053686347551e-12,0.898213267326355,1,74,0.9866666666666667,,0.013333333333333334
09vehicleengine,False,75,0.026360729709267616,9.82248171688127e-11,0.7565003633499146,1,74,0.9866666666666667,,0.013333333333333334
10axe,False,75,0.006044023670256138,1.6931348358929788e-13,0.34593239426612854,0,75,1.0,,0.0
11chainsaw,False,75,0.05586576461791992,1.8286110473053618e-13,0.824882447719574,4,71,0.9466666666666667,,0.05333333333333334
12generator,False,75,0.0212149228900671,2.7373117106321843e-09,0.4253670871257782,0,75,1.0,,0.0
13handsaw,False,75,0.0117680998519063,1.104230179516108e-10,0.17506223917007446,0,75,1.0,,0.0
14firework,False,75,0.016781527549028397,7.388608767779775e-14,0.7438107132911682,1,74,0.9866666666666667,,0.013333333333333334
15gunshot,False,75,0.014504273422062397,5.899994229814436e-16,0.2517212927341461,0,75,1.0,,0.0
16woodchop,False,75,0.013302884995937347,3.876373180777826e-12,0.6388017535209656,1,74,0.9866666666666667,,0.013333333333333334
17whistling,False,75,0.029803158715367317,5.702050290268268e-11,0.8589884638786316,2,73,0.9733333333333334,,0.02666666666666667
18speaking,False,75,0.02599766105413437,3.272989934632875e-10,0.5868571400642395,1,74,0.9866666666666667,,0.013333333333333334
19footsteps,False,75,0.05958545207977295,3.701980562376139e-12,0.6370329856872559,2,73,0.9733333333333334,,0.02666666666666667
20clapping,False,75,0.01749906875193119,6.1893415739811e-14,0.49718910455703735,0,75,1.0,,0.0
21insect,False,75,0.09098774939775467,3.774420420654678e-08,0.8908666372299194,5,70,0.9333333333333333,,0.06666666666666667
22frog,False,75,0.01665336638689041,1.751708084141157e-10,0.5475682020187378,1,74,0.9866666666666667,,0.013333333333333334
23birdchirping,True,75,0.8782615065574646,0.045345477759838104,0.9959903955459595,68,68,0.9066666666666666,0.9066666666666666,
24wingflapping,True,75,0.6469303965568542,6.151127763587283e-06,0.9756307005882263,57,57,0.76,0.76,
25lion,False,75,0.01512425858527422,5.326647109504812e-11,0.5050519108772278,1,74,0.9866666666666667,,0.013333333333333334
26wolfhowl,False,75,0.006190210580825806,2.090448474045825e-12,0.4408809542655945,0,75,1.0,,0.0
27squirrel,False,75,0.04695909470319748,5.100745070762969e-08,0.8902548551559448,1,74,0.9866666666666667,,0.013333333333333334
