fold,n_train,n_val,train_pos,train_neg,val_pos,val_neg,steps_per_epoch,epochs_ran,best_val_hard_pr_auc,accuracy_0p5,precision_0p5,recall_0p5,f1_0p5,tp_0p5,fn_0p5,fp_0p5,tn_0p5,roc_auc,pr_auc,target_fpr,threshold_at_fpr_target,recall_at_fpr_target,precision_at_fpr_target,fpr_at_target,normalizer_mean,normalizer_std,weights_path,loss
0,1620,405,120,1500,30,375,94,53,0.8578755461473702,0.9679012345679012,0.7931034482758621,0.7666666666666667,0.7796610169491526,23,7,6,369,0.9788444444444444,0.8578755461473702,0.02,0.5683497190475464,0.7666666666666667,0.8214285714285714,0.013333333333333334,-9.192533493041992,3.802612827850342,student/results/5s_kd_binary_hw07_kw03/models/student_5s_kd_binary_v1_fold0.weights.h5,hard_focal*0.7+soft_bce*0.3
1,1620,405,120,1500,30,375,94,50,0.8802414777355579,0.9753086419753086,0.8125,0.8666666666666667,0.8387096774193549,26,4,6,369,0.9624,0.8802414777355579,0.02,0.559814453125,0.8666666666666667,0.8387096774193549,0.013333333333333334,-9.182743072509766,3.7983751760253908,student/results/5s_kd_binary_hw07_kw03/models/student_5s_kd_binary_v1_fold1.weights.h5,hard_focal*0.7+soft_bce*0.3
2,1620,405,120,1500,30,375,94,60,0.9098132140601901,0.9777777777777777,0.8387096774193549,0.8666666666666667,0.8524590163934426,26,4,5,370,0.9910222222222222,0.9098132140601901,0.02,0.5064632296562195,0.8666666666666667,0.8387096774193549,0.013333333333333334,-9.178801536560059,3.7861319051513673,student/results/5s_kd_binary_hw07_kw03/models/student_5s_kd_binary_v1_fold2.weights.h5,hard_focal*0.7+soft_bce*0.3
3,1620,405,120,1500,30,375,94,35,0.8845935666896196,0.9506172839506173,0.6136363636363636,0.9,0.7297297297297297,27,3,17,358,0.9823111111111111,0.8845935666896196,0.02,0.7190710306167603,0.8666666666666667,0.7878787878787878,0.018666666666666668,-9.165760040283203,3.7899218068847658,student/results/5s_kd_binary_hw07_kw03/models/student_5s_kd_binary_v1_fold3.weights.h5,hard_focal*0.7+soft_bce*0.3
4,1620,405,120,1500,30,375,94,38,0.8985008372654409,0.9753086419753086,0.8571428571428571,0.8,0.8275862068965517,24,6,4,371,0.9836444444444445,0.8985008372654409,0.02,0.4903367757797241,0.8333333333333334,0.8620689655172413,0.010666666666666666,-9.247623443603516,3.7683408723602296,student/results/5s_kd_binary_hw07_kw03/models/student_5s_kd_binary_v1_fold4.weights.h5,hard_focal*0.7+soft_bce*0.3
