source_folder,is_bird_folder,n,mean_p_bird,min_p_bird,max_p_bird,positive_predictions,correct,accuracy,recall_if_bird,fp_rate_if_nonbird
01fire,False,75,0.01822069101035595,7.399020632292697e-13,0.4567529261112213,0,75,1.0,,0.0
02rain,False,75,0.12091393768787384,1.0340648941564723e-06,0.8590706586837769,8,67,0.8933333333333333,,0.10666666666666667
03thunderstorm,False,75,0.0005735377781093121,1.859623024146051e-13,0.022231372073292732,0,75,1.0,,0.0
04waterdrops,False,75,0.03321301192045212,8.58021653726837e-09,0.7423465251922607,1,74,0.9866666666666667,,0.013333333333333334
05wind,False,75,0.042006026953458786,1.8592325432109646e-05,0.7571171522140503,1,74,0.9866666666666667,,0.013333333333333334
06silence,False,75,0.04033868759870529,7.43454577900593e-08,0.34498077630996704,0,75,1.0,,0.0
07treefalling,False,75,0.04941629245877266,1.2499877521943148e-10,0.8208434581756592,1,74,0.9866666666666667,,0.013333333333333334
08helicopter,False,75,0.02856876701116562,2.118016916366483e-12,0.7046560049057007,3,72,0.96,,0.04
09vehicleengine,False,75,0.02513009123504162,8.485394054069673e-10,0.7023397088050842,2,73,0.9733333333333334,,0.02666666666666667
10axe,False,75,0.009502586908638477,4.22565801794228e-12,0.543682873249054,1,74,0.9866666666666667,,0.013333333333333334
11chainsaw,False,75,0.051734622567892075,6.429911048044801e-10,0.881588876247406,2,73,0.9733333333333334,,0.02666666666666667
12generator,False,75,0.013468055985867977,7.639754107113816e-11,0.4183906614780426,0,75,1.0,,0.0
13handsaw,False,75,0.026274513453245163,6.468889313104853e-11,0.7229275107383728,1,74,0.9866666666666667,,0.013333333333333334
14firework,False,75,0.015051729045808315,4.318513428802628e-12,0.424809068441391,0,75,1.0,,0.0
15gunshot,False,75,0.01476525329053402,1.5627347595258015e-16,0.6227076649665833,1,74,0.9866666666666667,,0.013333333333333334
16woodchop,False,75,0.020305011421442032,3.1819772511321176e-12,0.7394645810127258,2,73,0.9733333333333334,,0.02666666666666667
17whistling,False,75,0.022607754915952682,3.790907865397486e-11,0.918676495552063,1,74,0.9866666666666667,,0.013333333333333334
18speaking,False,75,0.022176284343004227,4.472412218348154e-09,0.4668704569339752,0,75,1.0,,0.0
19footsteps,False,75,0.07891398668289185,8.987703026264171e-09,0.745229184627533,5,70,0.9333333333333333,,0.06666666666666667
20clapping,False,75,0.015423797070980072,1.7230663967984566e-15,0.4243013858795166,0,75,1.0,,0.0
21insect,False,75,0.10460570454597473,2.9760427455727267e-09,0.9114099144935608,6,69,0.92,,0.08
22frog,False,75,0.0251068864017725,2.174721042353181e-13,0.7566762566566467,1,74,0.9866666666666667,,0.013333333333333334
23birdchirping,True,75,0.8591538667678833,0.004929378163069487,0.9948247075080872,68,68,0.9066666666666666,0.9066666666666666,
24wingflapping,True,75,0.6396068334579468,0.00010414786811452359,0.9552996158599854,58,58,0.7733333333333333,0.7733333333333333,
25lion,False,75,0.019171858206391335,1.6265276903126846e-09,0.6851387619972229,1,74,0.9866666666666667,,0.013333333333333334
26wolfhowl,False,75,0.006955571938306093,1.7178489533642427e-11,0.4724890887737274,0,75,1.0,,0.0
27squirrel,False,75,0.07339306175708771,5.4608626953722705e-08,0.6220378875732422,1,74,0.9866666666666667,,0.013333333333333334
