source_folder,is_bird_folder,n,mean_p_bird,min_p_bird,max_p_bird,positive_predictions,correct,accuracy,recall_if_bird,fp_rate_if_nonbird
01fire,False,75,0.06080462038516998,1.1790299936365045e-07,0.9312633872032166,3,72,0.96,,0.04
02rain,False,75,0.11106891930103302,6.057625228095276e-07,0.9879859089851379,7,68,0.9066666666666666,,0.09333333333333334
03thunderstorm,False,75,0.009497688151896,1.484511180649406e-09,0.25962692499160767,0,75,1.0,,0.0
04waterdrops,False,75,0.052709851413965225,2.4514855567758786e-07,0.8494315147399902,1,74,0.9866666666666667,,0.013333333333333334
05wind,False,75,0.0693439319729805,4.247790911904303e-06,0.6986784338951111,2,73,0.9733333333333334,,0.02666666666666667
06silence,False,75,0.11023111641407013,5.9231413615634665e-05,0.8420078158378601,5,70,0.9333333333333333,,0.06666666666666667
07treefalling,False,75,0.04195825755596161,5.0133244258177e-06,0.7231780290603638,2,73,0.9733333333333334,,0.02666666666666667
08helicopter,False,75,0.052609674632549286,2.4517476590601994e-11,0.9999101161956787,2,73,0.9733333333333334,,0.02666666666666667
09vehicleengine,False,75,0.02364819310605526,9.211445828327669e-09,0.8453657627105713,1,74,0.9866666666666667,,0.013333333333333334
10axe,False,75,0.029870662838220596,9.499516728794788e-09,0.8149862289428711,1,74,0.9866666666666667,,0.013333333333333334
11chainsaw,False,75,0.0436243899166584,4.513883624518433e-12,0.9885116815567017,2,73,0.9733333333333334,,0.02666666666666667
12generator,False,75,0.036737214773893356,8.859780097070225e-12,0.9944403767585754,2,73,0.9733333333333334,,0.02666666666666667
13handsaw,False,75,0.04502309113740921,6.341834002387969e-11,0.6266806721687317,2,73,0.9733333333333334,,0.02666666666666667
14firework,False,75,0.053664080798625946,1.4336361431332989e-08,0.6071267127990723,1,74,0.9866666666666667,,0.013333333333333334
15gunshot,False,75,0.01969008892774582,2.9933314941305023e-13,0.4113248884677887,0,75,1.0,,0.0
16woodchop,False,75,0.04954420030117035,6.424520027081826e-09,0.9720602631568909,3,72,0.96,,0.04
17whistling,False,75,0.030186757445335388,1.8552813799144197e-11,0.864009439945221,2,73,0.9733333333333334,,0.02666666666666667
18speaking,False,75,0.0480235293507576,7.186524157987151e-07,0.8743672370910645,1,74,0.9866666666666667,,0.013333333333333334
19footsteps,False,75,0.16480673849582672,1.3611501117338776e-06,0.9886575937271118,9,66,0.88,,0.12
20clapping,False,75,0.03297537565231323,1.99878235768864e-17,0.6728969216346741,3,72,0.96,,0.04
21insect,False,75,0.0979304164648056,8.91471998443194e-08,0.8310378193855286,6,69,0.92,,0.08
22frog,False,75,0.04245930165052414,3.169171197171805e-13,0.8709506392478943,3,72,0.96,,0.04
23birdchirping,True,75,0.7946842908859253,0.01991136185824871,0.9997608661651611,60,60,0.8,0.8,
24wingflapping,True,75,0.5201306343078613,0.0001227659813594073,0.9940324425697327,44,44,0.5866666666666667,0.5866666666666667,
25lion,False,75,0.020491356030106544,2.335365516421828e-13,0.36653345823287964,0,75,1.0,,0.0
26wolfhowl,False,75,0.0017712546978145838,3.343835841898568e-12,0.0342780277132988,0,75,1.0,,0.0
27squirrel,False,75,0.069114550948143,1.4315122598418384e-07,0.8226500749588013,5,70,0.9333333333333333,,0.06666666666666667
