fold,n_train,n_val,train_pos,train_neg,val_pos,val_neg,pos_weight,epochs_ran,best_val_pr_auc,accuracy_0p5,precision_0p5,recall_0p5,f1_0p5,tp_0p5,fn_0p5,fp_0p5,tn_0p5,roc_auc,pr_auc,target_fpr,threshold_at_fpr_target,recall_at_fpr_target,precision_at_fpr_target,fpr_at_target,normalizer_mean,normalizer_std,model_path
0,1620,405,120,1500,30,375,12.5,41,0.6802123785018921,0.9530864197530864,0.6774193548387096,0.7,0.6885245901639344,21,9,10,365,0.9495111111111112,0.676049547200422,0.02,0.6558931469917297,0.6,0.72,0.018666666666666668,-9.195216178894043,3.8021159635314943,student/results/5s_hardlabel_baseline/models/student_5s_hardlabel_fold0.keras
1,1620,405,120,1500,30,375,12.5,52,0.749396026134491,0.9506172839506173,0.631578947368421,0.8,0.7058823529411765,24,6,14,361,0.9288000000000001,0.7375013747575456,0.02,0.6468826532363892,0.8,0.8275862068965517,0.013333333333333334,-9.193222999572754,3.7879536615142824,student/results/5s_hardlabel_baseline/models/student_5s_hardlabel_fold1.keras
2,1620,405,120,1500,30,375,12.5,26,0.6859294176101685,0.9530864197530864,0.7619047619047619,0.5333333333333333,0.6274509803921569,16,14,5,370,0.9203555555555556,0.689343550670439,0.02,0.4867744743824005,0.5666666666666667,0.7727272727272727,0.013333333333333334,-9.2134370803833,3.7784493432769777,student/results/5s_hardlabel_baseline/models/student_5s_hardlabel_fold2.keras
3,1620,405,120,1500,30,375,12.5,45,0.7750313878059387,0.945679012345679,0.6111111111111112,0.7333333333333333,0.6666666666666666,22,8,14,361,0.9661333333333334,0.7808253067500714,0.02,0.7121250629425049,0.6,0.782608695652174,0.013333333333333334,-9.185529708862305,3.79687337739563,student/results/5s_hardlabel_baseline/models/student_5s_hardlabel_fold3.keras
4,1620,405,120,1500,30,375,12.5,43,0.6286044120788574,0.928395061728395,0.5121951219512195,0.7,0.5915492957746479,21,9,20,355,0.9432888888888888,0.6372166546015532,0.02,0.8891234993934631,0.5333333333333333,0.7272727272727273,0.016,-9.180036544799805,3.780480907989502,student/results/5s_hardlabel_baseline/models/student_5s_hardlabel_fold4.keras
