fold,n_train,n_val,train_pos,train_neg,val_pos,val_neg,steps_per_epoch,epochs_ran,best_val_hard_pr_auc,accuracy_0p5,precision_0p5,recall_0p5,f1_0p5,tp_0p5,fn_0p5,fp_0p5,tn_0p5,roc_auc,pr_auc,target_fpr,threshold_at_fpr_target,recall_at_fpr_target,precision_at_fpr_target,fpr_at_target,normalizer_mean,normalizer_std,weights_path,loss
0,1620,405,120,1500,30,375,94,52,0.8333642625334383,0.9604938271604938,0.7333333333333333,0.7333333333333333,0.7333333333333333,22,8,8,367,0.9722666666666666,0.8333642625334383,0.02,0.6070992946624756,0.7333333333333333,0.8148148148148148,0.013333333333333334,-9.192533493041992,3.802612827850342,student/results/5s_kd_binary_hw03_kw07/models/student_5s_kd_binary_v1_fold0.weights.h5,hard_focal*0.3+soft_bce*0.7
1,1620,405,120,1500,30,375,94,38,0.8383794774562486,0.9629629629629629,0.7027027027027027,0.8666666666666667,0.7761194029850746,26,4,11,364,0.9614222222222222,0.8383794774562486,0.02,0.5801352262496948,0.8,0.7741935483870968,0.018666666666666668,-9.182743072509766,3.7983751760253908,student/results/5s_kd_binary_hw03_kw07/models/student_5s_kd_binary_v1_fold1.weights.h5,hard_focal*0.3+soft_bce*0.7
2,1620,405,120,1500,30,375,94,43,0.9092613641000998,0.9703703703703703,0.8461538461538461,0.7333333333333333,0.7857142857142857,22,8,4,371,0.9889777777777777,0.9092613641000998,0.02,0.436298131942749,0.8333333333333334,0.8333333333333334,0.013333333333333334,-9.178801536560059,3.7861319051513673,student/results/5s_kd_binary_hw03_kw07/models/student_5s_kd_binary_v1_fold2.weights.h5,hard_focal*0.3+soft_bce*0.7
3,1620,405,120,1500,30,375,94,38,0.924570089147405,0.9432098765432099,0.574468085106383,0.9,0.7012987012987013,27,3,20,355,0.9891555555555556,0.924570089147405,0.02,0.7574968338012695,0.9,0.7941176470588235,0.018666666666666668,-9.165760040283203,3.7899218068847658,student/results/5s_kd_binary_hw03_kw07/models/student_5s_kd_binary_v1_fold3.weights.h5,hard_focal*0.3+soft_bce*0.7
4,1620,405,120,1500,30,375,94,55,0.9041155507648887,0.980246913580247,0.9230769230769231,0.8,0.8571428571428571,24,6,2,373,0.9785777777777778,0.9041155507648887,0.02,0.24036456644535065,0.9,0.84375,0.013333333333333334,-9.247623443603516,3.7683408723602296,student/results/5s_kd_binary_hw03_kw07/models/student_5s_kd_binary_v1_fold4.weights.h5,hard_focal*0.3+soft_bce*0.7
